"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Civil,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,1700,,3600,06/08/07,5 yrs.,Thales Alenia Space,France/Italy,Vandenberg AFB,Delta 7000,2007-023A,31598,"To be part of 4-satellite constellation; radar imager, collect data on floods, droughts, earthquakes and landslides; military applications.",
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,1700,,,12/09/07,5 yrs.,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,2007-059A,32376,Earth imaging; synthetic aperture radar (SAR) operating in X-band.,
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,1700,,,10/25/08,5 yrs.,Thales Alenia Space,Italy,Vandenberg AFB,Delta 7420,2008-054A,33412,"Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security.",
COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,1700,,,11/06/10,5 yrs.,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,2010-060A,37216,"Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security.",
CP-10 (Exocube),NR,USA,California Polytechnic State University/NASA JPL,Civil,Earth Observation,Earth Science,LEO,Elliptical,0,441,657,1.56E-02,99.1,95.6,4,,,01/31/15,,California Polytechnic University/NASA JPL,USA,Vandenberg AFB,Delta 2,2015-003E,40380,Measuring the Elemental Composition of the Exosphere,
Cryosat-2 ,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Radar Imaging,LEO,Polar,0,713,724,7.76E-04,92,99.2,720,,,04/08/10,3 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,2010-013A,36508,"Remote sensing, part of ESA's ice mission. Will measure polar ice for three years. Spacecraft has no solar panels.",
CSUNSAT-1 (California State University at Northridge Satellite),NR (10/17),USA,California State University at Northridge/NASA JPL,Civil,Technology Development,,LEO,Non-Polar Inclined,0,402,404,1.48E-04,51.6,92.4,4,,,05/18/17,,California State University at Northridge/NASA JPL,USA,International Space Station,Nanorack Deployer,1998-067LW,42815,"Space test a low temperature capable, battery/ultra-capacitor power system.",
"Cubebug 2 (Manolito, LO-74)",NR,Argentina,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Civil,Technology Development,,LEO,Sun-Synchronous,0,594,715,8.61E-03,97.8,97.8,2,,,11/21/13,,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Dombarovsky Air Base,Dnepr,2013-066AA,39440,Amateur radio satellite.,
"Cubesat XI-IV (Oscar 57, CO-57)",Japan,Japan,"Department of Astronautics, University of Tokyo",Civil,Technology Development,,LEO,Sun-Synchronous,0,815,830,1.04E-03,98.7,101.3,,1,,06/30/03,,"Department of Astronautics, University of Tokyo",Japan,Plesetsk Cosmodrome,Dnepr,2003-031J,27848,On-orbit verification of the super small satellite (nano-satellite) bus system using commercial-off-the-shell components.,
CUSat-1 (Cornell University Satellite 1),NR,USA,"Space Systems Design Studio, Cornell University",Civil,Technology Development,,LEO,Polar,0,326,1465,7.84E-02,80.99,102.89,,,2.2,09/29/13,.5 yrs.,"Space Systems Design Studio, Cornell University",USA,Vandenberg AFB,Falcon 9,2013-055B,39266,"A multi-year effort to design, build, and launch an autonomous in-orbit inspection satellite system.",
