"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,
Aerocube 4.5B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,499,792,2.09E-02,64.6,97.6,5,,,09/13/12,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048L,38768,,
Aerocube 5A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0,443,886,3.15E-02,120.3,98,5,,,12/06/13,2 yrs.,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072D,39465,Cubesat to demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,
Aerocube 5B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0,443,886,3.15E-02,120.3,98,5,,,12/06/13,2 yrs.,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072E,39466,Cubesat to demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,
Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,2.15E-02,64.78,97.74,2,,,10/08/15,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,"Demonstrate tracking technologies, optical communications and laser communication.",
Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,614,700,6.12E-03,97.98,97.88,5,,,06/19/14,3 yrs.,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,Technology development for cubesat constellation.,
Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,614,700,6.12E-03,97.98,97.88,5,,,06/19/14,3 yrs.,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,Technology development for cubesat constellation.,
Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,2.15E-02,64.6,97.4,2,,,10/08/15,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,,
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,356,700,2.49E-02,55,95.19,5,,,05/20/15,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,,
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,356,700,2.49E-02,55,95.19,5,,,05/20/15,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,,
Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,573,585,8.63E-04,98,96.23,2,,,11/11/16,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067D,41851,,
Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,572,584,8.64E-04,98,96.23,2,,,11/11/16,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,,
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",France,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,,GEO,,48,35764,35808,5.22E-04,0.12,1436.08,3460,1555,7000,12/20/08,15 yrs.,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.,
Afristar ,USA,USA,1Worldspace,Commercial,Communications,,GEO,,20.97,35770,35802,3.80E-04,0.03,1436.09,2704,1530,5500,10/28/98,15 yrs.,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,1998-063A,25515,"First WorldSpace satellite; digital audio and multi-media communications  to Africa, Middle East, Asia, Latin America and Caribbean.",
AIM (Aeronomy of Ice in Mesosphere),USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,544,552,5.78E-04,97.9,96.2,215,197,216,04/25/07,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,
AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,643,660,1.21E-03,98.25,97.76,14,,,06/30/14,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034B,40054,Satellite equipped with AIS tracking.,
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,615,632,1.22E-03,98,97.2,6,,,07/12/10,3 yrs.,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.,
AISSat-2 (Automatic Identification System Satellite-2),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,625,631,4.29E-04,98.4,97.27,6,,,07/08/14,3 yrs.,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,Second in the series.,
AIST-1,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,,LEO,Polar,0,599,626,1.93E-03,82.4,96.9,,,,12/28/13,,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,
AIST-2,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,,LEO,Non-Polar Inclined,0,558,582,1.73E-03,64.88,96.06,53,,,04/19/13,3 yrs.,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,
AIST-2D,Russia,Russia,Samara State Aerospace University,Civil,Technology Development,,LEO,Sun-Synchronous,0,471,486,1.10E-03,97.28,94.18,531,,,04/27/16,,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures.",
Al-Farabi-1,NR (9/17),Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,,LEO,Sun-Synchronous,0,497,497,0.00E+00,97.5,94.5,2,,,02/15/17,,Al-Farabi Kazakh National University,Kazakhstan,Satish Dhawan Space Centre,PSLV XL,2017-008BW,42016,Built by students as an educational project.,
ALiCE  (AFIT LEO iMESA CNT E),NR,USA,US Air Force Institute of Technology,Military,Technology Development,,LEO,Polar,0,443,886,3.15E-02,120.3,98,5,,,12/06/13,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.,
Alphasat I-XL  (Inmarsat IV-A F4),United Kingdom,United Kingdom/ESA,"INMARSAT, Ltd./European Space Agency",Commercial/Government,Communications/Technology Development,,GEO,,25,35786,35787,1.19E-05,0.02,1436.09,6650,3370,12000,07/25/13,15 yrs.,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2013-038A,39215,Partnership between INMARSAT and ESA. Expands INMARSAT's communications and carries 4 technology demonstration packages.,
Alsat 2B,NR (12/16),Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,646,660,9.97E-04,98.2,97.7,117,,,09/26/16,5 yrs.,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,Surveillance.,
Alsat-1B,NR (12/16),Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,661,704,3.05E-03,98.2,98.4,103,,,09/26/16,5 yrs.,Surrey Satellite Technologies Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV,2016-059C,41785,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,",
AlSat-1N,NR (12/16),Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,,LEO,Sun-Synchronous,0,661,698,2.62E-03,98.2,98.3,10,,,09/26/16,,Surrey Satellite Technologies Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV,2016-059G,41789,Technology demonstration satellite for Algerian students.,
Alsat-2A (Algeria Satellite 2A),Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,672,674,1.42E-04,98.1,98.2,130,,,07/12/10,5 yrs.,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning.",
Altair-1 (Altair Pathfinder),NR (10/17),USA,Millennium Space Systems,Commercial,Technology Demonstration,,LEO,Non-Polar Inclined,0,401,404,2.21E-04,51.6,92.6,10,,,05/18/17,.25 yrs.,Millennium Space Systems,USA,International Space Station,Nanorack Deployer,1998-067LS,42711,,
Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,35767,35805,4.51E-04,0.03,1436.08,5465,,15300,10/01/09,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,"54 Ku-band, 10 C-band transponders; North, Central and South America.",
Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,35781,35791,1.19E-04,0.03,1436.05,6265,2778,14000,02/07/13,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,,
Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,35784,35795,1.30E-04,0.08,1436.24,2938,,,03/22/14,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,Suffered a power malfunction shortly after entering orbit; will affect capacity.,
"AMC-1 (Americom 1, GE-1)",USA,USA,SES (Société Européenne des Satellites (SES)),Commercial,Communications,,GEO,,-103.02,35772,35800,3.32E-04,0.03,1436.1,2783,1600,"6,500 (EOL)",09/08/96,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean",
"AMC-10 (Americom-10, GE 10)",USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-134.97,35775,35797,2.61E-04,0.01,1436.09,2315,907,"6,500 (EOL)",02/05/04,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154,24 C-band transponders.,
"AMC-11 (Americom-11, GE 11)",USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-130.93,35774,35797,2.73E-04,0.04,1436.07,2340,"2,316 (BOL)","6,500 (EOL)",05/19/04,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.,
AMC-15 (Americom-15),USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-105.04,35777,35795,2.13E-04,0.04,1436.08,4200,,,10/14/04,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",
AMC-16 (Americom-16),USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-84.98,35780,35793,1.54E-04,0.02,1436.1,4312,,,12/17/04,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",
AMC-18 (Americom 18),USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-104.97,35773,35800,3.20E-04,0.06,1436.1,2081,918,,12/08/06,15 yrs.,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,All c-band transponders for North American coverage.,
"AMC-2 (Americom 2, GE-2)",USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-100.98,35774,35798,2.85E-04,0.05,1436.1,2648,1600,"6,500 (EOL)",01/30/97,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",
AMC-21 (Americom 21),United Kingdom,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-124.86,35778,35793,1.78E-04,3,1436.1,2500,,5000,08/14/08,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean.",
"AMC-3 (Americom 3, GE-3)",USA,USA,SES World Skies/Global Eagle Entertainment,Commercial,Communications,,GEO,,-86.96,35777,35795,2.13E-04,0.02,1436.08,2845,1600,"6,500 (EOL)",09/04/97,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,1997-050A,24936,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",
"AMC-4 (Americom-4, GE-4)",USA,USA,SES World Skies/Gogo,Commercial,Communications,,GEO,,-100.99,35781,35791,1.19E-04,0.01,1436.1,3909,2500,,11/13/99,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band",
"AMC-6 (Americom-6, GE-6)",USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-71.98,35778,35795,2.02E-04,0.05,1436.12,3901,2500,,10/22/00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America",
"AMC-7 (Americom-7, GE-7)",USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-136.94,35773,35798,2.97E-04,0.01,1436.08,1935,912,"6,500 (EOL)",09/14/00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495,"Cable programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,-139,35773,35798,2.97E-04,0.03,1436.07,2015,919,3300,12/19/00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",
Amos 3,NR,Israel,Space-Communication Ltd,Military/Commercial,Communications,,GEO,,-3.99,35783,35789,7.12E-05,0.04,1436.1,,,,04/28/08,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,"15 transponders, Ku and Ka bands.",
Amos 4,NR,Israel,Space-Communication Ltd,Military/Commercial,Communications,,GEO,,65,35633,35796,1.94E-03,0.01,1432,,,,08/31/13,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well.",
Amsat-Oscar 7 (AO-7),USA,USA,Amsat-NA,Civil,Communications,,LEO,Polar,0,1440,1459,1.21E-03,101.4,114.9,29,,,11/15/74,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,American amateur radio satellite.,
Anik F1 ,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.27,35778,35793,1.78E-04,0.02,1436.08,4710,2950,"15,500 (EOL)",11/21/00,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,"36 C-band and 48 Ku-band transponders; broadcasting, business; North and South America; faulty solar panels may affect operations by 2005.",
Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.3,35777,35795,2.13E-04,0.02,1436.1,4500,,10000,09/09/05,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,"32 Ku-band, 24 C-band transponders, 2 navigation transponders; North America.",
Anik F2 ,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-111.07,35781,35790,1.07E-04,0.01,1436.08,5910,3805,16000,07/18/04,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada",
Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-118.69,35778,35794,1.90E-04,0.01,1436.1,4715,,17500,04/09/07,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.",
Anik G1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.3,35773,35799,3.08E-04,0.01,1436.08,4905,,17500,04/15/13,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.,
AntelSat,NR,Uruguay,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Civil,Technology Development,,LEO,Sun-Synchronous,0,612,696,5.98E-03,97.96,96.99,2,,,06/19/14,,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Uruguay,Dombarovsky Air Base,Dnepr,2014-033AA,40034,"Developmental communications systems operating at VHF,UHF and S-band, and an Earth-imaging system with detectors in the near infrared and visible bands. Released from Unisat 6 June 20 at 21:07:00 from the same deployer as Aerocube 6.",
AOBA-Velox 3 ,NR (10/17),Singapore/Japan,Nanyang Technological University/Kyushu Institute of Technology,Civil,Technology Development,,LEO,Non-Polar Inclined,0,398,407,6.64E-04,51.64,92.61,2,,,12/09/16,.5 yrs.,Nanyang Technological University/Kyushu Institute of Technology,Singapore/Japan,International Space Station,Nanorack Deployer,1998-067KX,41936,Micropropulsion development.,
AprizeSat 1 (LatinSat-C),USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0,696,764,4.79E-03,98,99.4,12,12,,06/29/04,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025G,28372,Messaging services.,
AprizeSat 10 (exactView-13),NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,733,8.52E-03,97.9,98,12,12,,06/19/14,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,Will provide tracking and data monitoring services for companies with remote or mobile assets.,
AprizeSat 2 (LatinSat-D),USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0,694,850,1.09E-02,98.2,100.3,12,12,,06/29/04,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025A,28366,Messaging services.,
AprizeSat 3 ,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,559,662,7.38E-03,98.18,97,12,12,,07/29/09,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,Will provide tracking and data monitoring services for companies with remote or mobile assets.,
AprizeSat 4 ,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,604,674,4.99E-03,98.1,97.5,12,12,,07/29/09,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,Will provide tracking and data monitoring services for companies with remote or mobile assets.,
AprizeSat 5,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,610,694,5.98E-03,98.2,97.8,12,12,,08/17/11,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr 1,2011-044E,37792,Continuation of constellation.,
AprizeSat 7,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,653,4.22E-03,97.8,97.17,12,12,,11/21/13,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416,Continuation of constellation.,
AprizeSat 8 (exactView-12),NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,669,5.36E-03,97.8,97.99,12,12,,11/21/13,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425,Continuation of constellation.,
AprizeSat 9 (exactView-11),NR,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,715,7.25E-03,97.9,98,12,12,,06/19/14,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018,Will provide tracking and data monitoring services for companies with remote or mobile assets.,
Apstar 6,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,134.04,35778,35794,1.90E-04,0.01,1436.08,4680,,,04/12/05,,Alcatel Space Industries,France,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638,,
Apstar 7,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,76.5,35864,35874,1.18E-04,0.03,1440.31,5054,,,03/31/12,15 yrs.,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2012-013A,38107,Replacement for Apstar 2R.,
Apstar 9,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,142,35782,35788,7.12E-05,0.12,1436.01,5200,,10500,10/16/15,15 yrs.,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-059A,40982,Replacement for Apstar 9A.,
"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)",China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,87.68,35778,35795,2.02E-04,0.02,1436.12,3000,1418,"6,797 (EOL)",05/30/98,15 yrs.,Lockheed Martin,USA,Xichang Satellite Launch Center,Long March 3B,1998-033A,25354,"24 C-band, 24 Ku-band; voice and video communications throughout China and neighboring countries.",
Arabsat 5C,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,19.99,35766,35805,4.63E-04,0.06,1436.06,4630,,,09/21/11,15 yrs.,Astrium/Thales Alenia Space,France,Guiana Space Center,Arinae 5 ECA,2011-049B,37810,"26 active C-band transponders, 12 active Ka-band transponders",
Arabsat 7F (Nimiq 1) ,Canada,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,GEO,,44.5,35778,35794,1.90E-04,0.01,1436.09,3600,1700,8600,05/20/99,12 yrs.,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,1999-027A,25740,Television broadcast;  32 Ku-band.,
ARC-1 (Alaska Research Satellite-1),NR,USA,University of Alaska-Fairbanks,Civil,Technology Development,,LEO,Non-Polar Inclined,0,497,801,2.17E-02,64.78,97.71,1,,,10/08/15,,University of Alaska-Fairbanks,USA,Cape Canaveral,Atlas 5,2015-058F,40969,Development of a cubesat platform by university students.,
ArSat 1,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,-71.8,35778,35795,2.02E-04,0.01,1436.07,3000,,,10/16/14,15 yrs.,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2014-062B,40272,"First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay.",
ArSat 2,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,-81,35786,35801,1.78E-04,0.01,1436.06,2977,,4600,09/30/15,15 yrs.,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2015-054B,40941,,
Artemis (Advanced Data Relay and Technology Mission Satellite) ,ESA,ESA,European Space Agency,Commercial/Government,Communications/Technology Development,,GEO,,21.36,35771,35803,3.80E-04,7.03,1436.12,3105,1500,4600,07/12/01,10 yrs.,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,2001-029A,26863,"An 18-month rescue mission recovered the satellite; develop European capabilities in satellite communications; test new technologies; support development of European navigation system (EGNOS, c. 2010).",
AsiaSat-3S (Asiasat 3SA),China,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,,GEO,,105.55,35780,35792,1.42E-04,0.02,1436.07,3480,2500,10000,03/21/99,15 yrs.,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications",
AsiaSat-4 ,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,122.24,35784,35789,5.93E-05,0,1436.1,4137,2275,9500,04/12/03,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B,2003-014A,27718,"28 C-band, 16 Ku-band; extensive C-band coverage across Asia and targeted Ku-band beams for Australasia, East Asia, and a BSS payload for provision of Direct to Home (DTH) services to Hong Kong.",
AsiaSat-5,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,100.5,35778,35795,2.02E-04,0,1436.11,3760,,,08/11/09,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696,"14 Ku-Band, 26 C-band, serving all of Asia.",
AsiaSat-6 (Thaicom-7),China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,120,35783,35793,1.19E-04,0.07,1436.17,3700,,,09/07/14,15 yrs.,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-052A,40141,14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.,
AsiaSat-7,China,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,,GEO,,105.5,35782,35793,1.30E-04,0.02,1436.17,3813,,,11/25/11,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-069A,37933,"28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S.",
