"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-6 (Americom-6, GE-6)",AMC-6,USA,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,-71.98,"35,778","35,795",2.02E-04,0.05,1436.12,"3,901","2,500",,10/22/2000,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/,http://ses-americom.com/satellites/amc-6.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-7 (Americom-7, GE-7)",AMC-7,USA,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,-136.94,"35,773","35,798",2.97E-04,0.01,1436.08,"1,935",912,"6,500 (EOL)",9/14/2000,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495,"Cable programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://ses-americom.com/satellites/amc-7.html,http://www.planet4589.org/space/jsr/back/news.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-8 (Americom-8, GE-8, Aurora 3)",AMC-8,USA,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,-139,"35,773","35,798",2.97E-04,0.03,1436.07,"2,015",919,"3,300",12/19/2000,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://ses-americom.com/satellites/amc-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-9 (Americom 9, GE-12)",AMC-9,USA,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,-82.95,"35,773","35,798",2.97E-04,0.05,1436.08,"4,100","2,000","10,000",6/7/2003,15+ yrs.,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton K,2003-024A,27820,"Television programmers, government agencies and enterprise networks; 24 Ku-band; CONUS and Mexico.",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/,http://ses-americom.com/satellites/amc-9.html,http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2003.html#AMC-9,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 2 ,Amos 2,Israel,Israel Aircraft Industries,Military/Commercial,Communications,GEO,,-3.98,"35,778","35,794",1.90E-04,0.05,1436.08,"1,400",646,"1,900 (EOL)",12/27/2003,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Soyuz-Fregat ,2003-059A,28132,"Ku-band communications, Europe, Middle East, East Coast of USA.",,JM/12_08,http://www.israeli-weapons.com/weapons/space/amos/AMOS_2.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx602.html,http://www.spacecom.co.il/amos2launch/amos2launch.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 3,Amos 3,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,,-3.99,"35,783","35,789",7.12E-05,0.04,1436.1,,,,4/28/2008,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,"15 transponders, Ku and Ka bands.",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html,http://www.lib.cas.cz/space.40/2008/I021A.HTM,http://www.amos-spacecom.com/amos1/page.asp?newsid=4&type=6&lang=1&cat=68,"http://www.ynetnews.com/articles/0,7340,L-3536659,00.html",http://www.amos-spacecom.com/newsite/page.asp?cat=45&type=4&lang=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 4,Amos 4,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,,65,"35,633","35,796",1.94E-03,0.01,1432,,,,8/31/2013,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well.",,,http://www.redorbit.com/news/space/1112937144/launch-of-israel-amos-satellite-090213/,http://www.afcea.org/content/?q=node/2541,http://www.upi.com/Business_News/Security-Industry/2013/09/03/Israels-Amos-4-satellite-launch-boosts-space-plan/UPI-76151378231530/,,http://www.richardsilverstein.com/2013/09/01/israel-launches-amos-4-satellite-with-secret-military-payload-for-spying-on-iran-syria/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 5,Amos 5,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,,17,"35,595","36,007",4.88E-03,0.09,1436.08,"1,600",,,12/11/2011,15 yrs.,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,2011-074A,37950,"14 C-band, 18 Ku-band.",,JM/1_12,http://www.amos-spacecom.com/content.cfm/amos-4,http://www.lib.cas.cz/space.40/2011/074A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsat-Oscar 7 (AO-7),Amsat-Oscar 7,USA,Amsat-NA,Civil,Amateur Radio,LEO,Sun-Synchronous,0,"1,440","1,459",1.21E-03,101.4,114.9,29,,,11/15/1974,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,American amateur radio satellite.,,www.satellitedebris.net 12/12,http://www.amsat.org/amsat-new/satellites/status.php,http://www.emilyshouse.com/experthams/ao7/main.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1 ,Anik F1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-107.27,"35,778","35,793",1.78E-04,0.02,1436.08,"4,710","2,950","15,500 (EOL)",11/21/2000,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,"36 C-band and 48 Ku-band transponders; broadcasting, business; North and South America; faulty solar panels may affect operations by 2005.",,JM/12_08,,http://www.boeing.com/defense-space/space/bss/hsc_pressreleases/00_04_17_anikf2.html,http://www.telesat.ca/satellites/photos/satellites_gallery7.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1R,Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-107.3,"35,777","35,795",2.13E-04,0.02,1436.1,"4,500",,"10,000",9/9/2005,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,"32 Ku-band, 24 C-band transponders, 2 navigation transponders; North America.",,JM/12_08,http://www.telesat.ca/satellites/index.htm,http://www.telesat.ca/news/2005/05-14.htm,http://www.space.eads.net/families/daily-life-benefits/communications/anik-f1r,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2005/036A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F2 ,Anik F2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-111.07,"35,781","35,790",1.07E-04,0.01,1436.08,"5,910","3,805","16,000",7/18/2004,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.telesat.ca/satellites/index.htm,http://www.boeing.com/defense-space/space/bss/factsheets/702/anik_f2/anik_f2.html,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2004/027A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F3,Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-118.69,"35,778","35,794",1.90E-04,0.01,1436.1,"4,715",,"17,500",4/9/2007,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx642.html,http://www.telesat.ca/satellites/index-e.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik G1,Anik G1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-107.3,"35,773","35,799",3.08E-04,0.01,1436.08,"4,905",,"17,500",4/15/2013,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.,,SC - ASCR,http://www.telesat.com/news-events/telesat-successfully-launches-anik-g1-satellite,http://www.ssloral.com/html/satexp/anik_g1.html,http://www.planet4589.org/space/log/geo.log,http://space50.kosmo.cz/s40/2013/I014A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 1 (LatinSat-C),AprizeSat 1,Argentina,Aprize Satellites Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,0,696,764,4.79E-03,98,99.4,12,12,,6/29/2004,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025G,28372,Messaging services.,,www.satellitedebris.net 12/12,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 2 (LatinSat-D),AprizeSat 2,Argentina,Aprize Satellites Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,0,694,850,1.09E-02,98.2,100.3,12,12,,6/29/2004,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025A,28366,Messaging services.,,www.satellitedebris.net 12/12,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 3,AprizeSat 3,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0,563,572,6.49E-04,98.1,97,12,12,,7/29/2009,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,Will provide tracking and data monitoring services for companies with remote or mobile assets.,,www.satellitedebris.net 12/12,http://www.talksatellite.com/Americas-A830.htm,http://www.aprizesat.com/press/AprizeSat_Launch_9-8-08.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 4,AprizeSat 4,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0,604,674,4.99E-03,98.1,97.5,12,12,,7/29/2009,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,Will provide tracking and data monitoring services for companies with remote or mobile assets.,,www.satellitedebris.net 12/12,http://www.talksatellite.com/Americas-A830.htm,http://www.aprizesat.com/press/AprizeSat_Launch_9-8-08.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 5,AprizeSat 5,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0,610,694,5.98E-03,98.2,97.8,12,12,,8/17/2011,,SpaceQuest,USA,Dombarovsky Missile Base,Dnepr 1,2011-044E,37792,Continuation of constellation.,,www.satellitedebris.net 12/12,http://www.exactearth.com/news-folder-2/dnepr-launches-aprizesat-5-and-aprizesat-6/,http://www.aprizesat.com/technology.php,http://www.lib.cas.cz/space.40/2011/044E.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 6,AprizeSat 6,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0,627,694,4.76E-03,98.2,98,12,12,,8/17/2011,,SpaceQuest,USA,Dombarovsky Missile Base,Dnepr 1,2011-044F,37793,Continuation of constellation.,,www.satellitedebris.net 12/12,http://www.lib.cas.cz/space.40/2011/044F.HTM,http://www.aprizesat.com/technology.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 1,Apstar 1,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,141.94,"35,782","35,795",1.54E-04,6.5,1436.21,"1,383",726,,7/21/1994,,Hughes ,USA,Xichang Satellite Launch Center,Long March 3,1994-043A,23185,In highly inclined orbit.,,JM/1_12,http://www.apstar.com/,http://www.lib.cas.cz/space.40/1994/043A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 1A,Apstar 1A,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,51.47,"35,779","35,790",1.30E-04,5.89,1436.03,"1,383",726,,7/3/1996,,Hughes,USA,Xichang Satellite Launch Center,Long March 3,1996-039A,23943,In highly inclined orbit.,,JM/1_12,http://www.apstar.com/,http://www.lib.cas.cz/space.40/1996/039A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 6,Apstar 6,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,134.04,"35,778","35,794",1.90E-04,0.01,1436.08,"4,680",,,4/12/2005,,Alcatel Space Industries,France,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638,,,JM/12_08,http://www.apstar.com/apstar/apstar_vi.html,http://www.apstar.com/pressroom/press/press50.htm,http://www.lib.cas.cz/knav/space.40/2005/I012A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 7,Apstar 7,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,76.5,"35,864","35,874",1.18E-04,0.03,1440.31,"5,054",,,3/31/2012,15 yrs.,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2012-013A,38107,Replacement for Apstar 2R.,,,http://www.apstar.com/apt_news/index.asp,http://www.spacenews.com/launch/120402-long-march-delivers-apstar-sat.html,http://dreamdth.com/Thread-Exclusive-Apstar-7-factsheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabsat 5C,Arabsat 5C,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,19.99,"35,766","35,805",4.63E-04,0.06,1436.06,"4,630",,,9/21/2011,15 yrs.,Astrium/Thales Alenia Space,France,Guiana Space Center,Arinae 5 ECA,2011-049B,37810,"26 active C-band transponders, 12 active Ka-band transponders",,JM/1_12,http://www.arabsat.com/pages/PressReleaseDetails.aspx?id=197,,,http://www.lib.cas.cz/space.40//2011/049A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemis (Advanced Data Relay and Technology Mission Satellite) ,Advanced Data Relay and Technology Mission Satellite (Artemis) ,ESA,European Space Agency,Commercial/Government,Communications/Research,GEO,,21.36,"35,771","35,803",3.80E-04,7.03,1436.12,"3,105","1,500","4,600",7/12/2001,10 yrs.,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,2001-029A,26863,"An 18-month rescue mission recovered the satellite; develop European capabilities in satellite communications; test new technologies; support development of European navigation system (EGNOS, c. 2010).",,SC - ASCR,http://www.esa.int/artemislaunch/,http://www.esa.int/export/esaSA/ESADLGPZ9NC_telecom_0.html,http://nssdc.gsfc.nasa/gov/spacewarn/spx573.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://news.softpedia.com/news/Anniversary-ESA-s-Artemis-Satellite-Turns-10-211060.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat 3S (Asiasat 3SA),AsiaSat 3S,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,,105.55,"35,780","35,792",1.42E-04,0.02,1436.07,"3,480","2,500","10,000",3/21/1999,15 yrs.,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx545.html,http://www.asiasat.com/eng/02_satellites/system_03.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat 4 ,AsiaSat 4,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,,122.24,"35,784","35,789",5.93E-05,0,1436.1,"4,137","2,275","9,500",4/12/2003,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B,2003-014A,27718,"28 C-band, 16 Ku-band; extensive C-band coverage across Asia and targeted Ku-band beams for Australasia, East Asia, and a BSS payload for provision of Direct to Home (DTH) services to Hong Kong.",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx594.html,http://www.asiasat.com/eng/02_satellites/system_03.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat 5,AsiaSat 5,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,,100.5,"35,778","35,795",2.02E-04,0,1436.11,"3,760",,,8/11/2009,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696,"14 Ku-Band, 26 C-band, serving all of Asia.",,JM/10/09,http://www.satnews.com/cgi-bin/story.cgi?number=1887627197,http://www.spacetoday.net/Summary/4670,http://www.asiasat.com/asiasat/contentView.php?section=170&lang=0#Headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat 7,AsiaSat 7,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,,105.5,"35,782","35,793",1.30E-04,0.02,1436.17,"3,813",,,11/25/2011,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-069A,37933,"28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S.",,JM/1_12,http://www.asiasat.com/asiasat/contentView.php?section=202&lang=0,,,http://www.lib.cas.cz/space.40/2011/069A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaStar ,AsiaStar,USA,1Worldspace,Commercial,Communications,GEO,,104.97,"35,773","35,801",3.32E-04,0.02,1436.15,"2,775","1,530","5,600",3/21/2000,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx557.html,http://www.worldspace.com/about/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1D ,Astra 1D,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,31.2,"35,776","35,795",2.25E-04,1.15,1436.08,"2,924","1,700","3,300",11/1/1994,15 yrs.,Hughes,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.,,JM/12_08,www.astra.lu/corporate/satellites/fleet,http://nssdc.gsfc.nasa.gov/spacewarn/spx493.html,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=16,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1E ,Astra 1E,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,23.47,"35,774","35,799",2.97E-04,0.04,1436.13,"3,014","1,800","4,150",10/19/1995,14 yrs.,Hughes,USA,Guiana Space Center,Ariane 42L,1995-055A,23686,"54 to 108 digital TV programs to W. Europe; 18 Ku-band transponders; backup for 1B, 1C or 1D",,JM/12_08,www.astra.lu/corporate/satellites/fleet,http://nssdc.gsfc.nasa.gov/spacewarn/spx504.html,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=9,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1F ,Astra 1F,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,19.22,"35,778","35,797",2.25E-04,0.03,1436.15,"3,010","1,800","4,400",4/18/1996,15 yrs.,Hughes,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.,,JM/12_08,www.astra.lu/corporate/satellites/fleet,http://nssdc.gsfc.nasa.gov/spacewarn/spx510.html,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=10,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1G ,Astra 1G,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,19.24,"35,780","35,791",1.30E-04,0.04,1436.08,"3,379","3,010 (BOL)","6,600",12/2/1997,15 yrs.,Hughes,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe,,JM/12_08,www.astra.lu/corporate/satellites/fleet,http://www.lib.cas.cz/www/space.40/1997/076A.HTM,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1H ,Astra 1H,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,19.2,"35,776","35,794",2.13E-04,0.06,1436.04,"3,690","2,300","6,600",6/18/1999,15 yrs.,Hughes,USA,Baikonur Cosmodrome,Proton D,1999-033A,25785,"Direct-to-home tv; multimedia; broadcasting; 32 Ku-band for first five years, 28 after; Europe.",,JM/12_08,www.astra.lu/corporate/satellites/fleet,http://nssdc.gsfc.nasa.gov/spacewarn/spx548.html,http://www.ses-astra.com/satellites/fleet/satellites.php?sat=12,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1KR,Astra 1KR,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,19.16,"35,766","35,807",4.86E-04,0.08,1436.1,"4,332",,"12,000",4/20/2006,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2006-012A,29055,32 Ku-band transponders; direct-to-home broadcast services across Europe.,,JM/12_08,www.astra.lu/corporate/satellites/fleet,http://www.lib.cas.cz/www/space.40/2006/012A.HTM,http://en.wikipedia.org/wiki/Astra_1KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1L,Astra 1L,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,19.3,"35,772","35,798",3.08E-04,0.05,1436.03,"4,500",,"13,000",5/4/2007,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-016A,31306,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.",,JM/12_08,http://www.ses-global.com/corpSite/site_en/04_ASTRAFleet/03_satellite_list/astra1l/index.php,http://www.lib.cas.cz/www/space.40/2007/016A.HTM,http://www.space-travel.com/reports/Lockheed_Martin_Built_Astra_1L_Satellite_Ready_For_Launch_999.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1M,Astra 1M,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,,19.2,"35,804","35,852",5.69E-04,0.14,1438.2,"5,345",,"9,900",11/5/2008,15 yrs.,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2008-057A,33436,Direct-to-home and HD television.,,SC - ASCR 1/09,http://www.thefreelibrary.com/ASTRA+1M+Satellite+Successfully+Launched.-a0188470617,http://www.lib.cas.cz/space.40/2008/I065B.HTM,http://www.ses-astra.com/business/en/satellite-fleet/satellite-list/astra1m/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
